State,Buhari,Atiku,Nicolas,Sowore,Moghalu,Durotoye,Duke,Mailafia
Abia,85058,219698,1489.0,212,88,720,472,336
Adamawa,378078,410266,3670.0,282,109,162,978,3989
Akwa_Ibom,175429,395832,1902.0,222,118,95,92,230
Anambra,33298,524738,4374.0,124,4091,45,932,227
Bauchi,798428,209313,2104.0,183,112,46,516,296
Bayelsa,118821,197933,1584.0,126,50,37,124,1078
Benue,347668,356817,2793.0,309,557,201,4927,554
Borno,836496,71788,,269,78,29,322,301
Cross_River,117302,295737,,242,217,88,1395,326
Delta,221292,594068,,1626,497,320,1745,1075
Ebonyi,90726,258573,,205,192,683,452,213
Edo,267842,275691,,3106,531,273,184,850
Ekiti,219231,154032,,400,68,88,48,406
Enugu,54423,355553,,219,1379,141,130,348
Gombe,402961,138484,,165,39,78,248,248
Imo,140463,334923,,467,676,119,772,541
Jigawa,794738,289895,,226,67,66,5011,261
Kaduna,993445,649612,,243,196,261,1737,558
Kano,1464768,391593,,416,200,114,635,591
Katsina,1232133,308056,,186,61,82,150,237
Kebbi,581552,154282,,276,53,99,2376,285
Kogi,285894,218207,,250,87,89,2226,4369
Kwara,308984,138184,,401,140,422,212,456
Lagos,580825,448015,,8910,5733,6946,770,2915
Nassarawa,289903,283847,,75,44,45,359,339
Niger,612371,218052,,324,113,145,239,588
Ogun,281762,194655,,3196,553,1509,1374,25283
Ondo,241769,275901,,4414,1224,311,1618,6296
Osun,347634,337377,,1022,189,268,259,1525
Oyo,365229,366690,,4014,1608,1896,766,40830
Plateau,468555,548665,,268,442,796,599,590
Rivers,150710,473971,,372,415,365,1244,597
Sokoto,490333,361604,,181,184,84,301,331
Taraba,324906,374743,,116,80,35,862,211
Yobe,497914,50763,,137,36,37,180,162
Zamfara,438682,125423,,186,44,24,81,186
FCT,152224,259997,,583,1083,652,410,246
Total,15191847,11262978,110196.0,33953,21886,16779,34746,97874
