State,Bola_Tinubu,Peter_Obi,Rabiu_Kwankwaso,Atiku_Abubakar,Others,Total_valid_votes
Abia_State,8914,327095,1239,22676,10113,370037
Adamawa_State,182881,105648,8006,417611,16994,731140
Akwa_Ibom_State,160620,132683,7796,214012,39978,555089
Anambra_State,5111,584621,1967,9036,13126,613861
Bauchi_State,316694,27373,72103,426607,10739,853516
Bayelsa_State,42572,49975,540,68818,3420,165325
Benue_State,310468,308372,4740,130081,16414,770075
Borno_State,252282,7205,4626,190921,10253,465287
Cross_River_State,130520,179917,1644,95425,9462,416968
Delta_State,90183,341866,3122,161600,18570,615341
Ebonyi_State,42402,259738,1661,13503,8047,325351
Edo_State,144471,331163,2743,89585,13304,581266
Ekiti_State,201494,11397,264,89554,5462,308171
Enugu_State,4772,428640,1808,15749,5455,456424
Federal_Capital_Territory,90902,281717,4517,74194,8741,460071
Gombe_State,146977,26160,10520,317123,9263,510043
Imo_State,66171,352904,1536,30004,8646,459261
Jigawa_State,421390,1889,98234,386587,12431,920531
Kaduna_State,399293,294494,92969,554360,19037,1360153
Kano_State,517341,28513,997279,131716,27156,1702005
Katsina_State,482283,6376,69386,489045,11583,1058673
Kebbi_State,248088,10682,5038,285175,10539,559522
Kogi_State,240751,56217,4238,145104,10480,456790
Kwara_State,263572,31186,3141,136909,35203,469971
Lagos_State,572606,582454,8442,75750,32199,1271451
Nasarawa_State,172922,191361,12715,147093,16475,540566
Niger_State,375183,80452,21836,284898,16299,778668
Ogun_State,341554,85829,2200,123831,26710,580124
Ondo_State,369924,44405,930,115463,20286,551008
Osun_State,343945,23283,713,354366,10896,733203
Oyo_State,449884,99110,4095,182977,73419,809485
Plateau_State,307195,466272,8869,243808,62026,1088170
Rivers_State,231591,175071,1322,88468,27199,523651
Sokoto_State,285444,6568,1300,288679,4824,586815
Taraba_State,135165,146315,12818,189017,16043,499358
Yobe_State,151459,2406,18270,196567,7695,378397
Zamfara_State,298396,1660,4044,193978,4845,502923
